age,annual_income,credit_score,loan_amount,employment_years,existing_debt,loan_term_years,Grant_Loan
39,1248382,624,528454,4,541797,10,1
46,854037,603,1543726,24,68653,16,1
23,1238836,575,1386286,19,692289,12,1
39,1041047,500,909625,17,391770,7,1
40,806791,744,546440,17,965795,18,1
52,1502922,623,1521926,1,266186,15,1
27,809996,334,1502137,9,193646,6,0
61,915472,781,826372,11,299345,12,1
53,1875335,779,695303,12,747642,11,1
60,1244244,364,222257,10,538304,20,1
59,978513,307,1869400,18,287166,3,0
38,1406237,600,1322597,34,756322,2,1
60,1933951,642,1753820,38,552226,6,1
21,360081,730,1693608,25,174750,5,1
31,588590,723,345599,13,904603,18,1
48,1965982,631,1607009,23,260710,16,1
45,1093093,737,995522,0,232320,8,1
43,881503,473,366363,21,848152,20,0
51,1254730,826,882423,22,367658,11,1
50,877164,325,647904,18,712165,10,0
62,1159192,705,1710302,17,991827,12,1
55,1312864,531,166841,11,657346,6,1
27,251195,832,1763422,27,76478,20,1
36,482725,849,219934,27,405377,5,1
46,645864,804,1875598,32,938193,9,1
22,492231,478,1681734,18,127101,16,0
21,905290,431,1185270,27,356843,14,0
32,364053,754,287068,36,716284,8,1
25,793586,647,880288,25,494527,20,1
57,1979240,839,151407,34,361417,19,1
52,1685200,705,1592536,33,729668,14,1
29,1288075,375,1654243,34,756488,7,0
61,1636536,791,901161,39,588033,5,1
55,645485,493,1520170,15,132283,18,0
39,1942495,461,1335076,37,393445,2,1
36,1493774,646,628641,12,381116,11,1
23,1716111,660,755356,22,441758,8,1
40,1869211,386,1899039,21,931849,1,0
44,1559507,561,1309720,15,101489,12,1
53,1546208,513,1688846,27,556107,2,1
44,536585,561,86683,34,47779,18,1
31,1978599,582,1212667,7,737781,7,1
28,222431,766,167797,21,354388,17,1
56,1572401,679,1509410,20,589872,14,1
58,1443131,661,1629451,25,413166,7,1
60,847008,748,374934,39,670533,3,1
40,773441,740,1392200,20,248815,6,1
55,468512,392,1852466,24,844464,20,0
45,1098792,723,1774463,0,377218,2,1
55,376076,441,335713,5,361417,17,0
45,1468300,590,847583,22,814468,12,1
49,1829849,731,514310,22,254957,12,1
38,1563046,348,1288822,22,595644,17,0
38,1881601,601,1667603,31,145364,10,1
22,1984997,489,607242,29,527340,3,1
55,878758,435,1080488,12,306521,20,0
36,953753,703,818223,17,198910,18,1
61,250861,640,159373,22,329963,13,0
56,1586617,617,608988,14,900121,12,1
53,1461553,662,1060540,32,146692,17,1
24,851406,681,1222304,20,30461,4,1
53,921001,532,903220,38,807182,10,0
34,209078,643,1693909,22,9472,11,1
41,524912,848,1529634,26,855695,6,1
40,1823911,828,1767836,17,112036,6,1
28,1058058,482,964424,23,188674,9,1
27,1044092,340,916491,39,287667,15,0
23,1167290,696,1624745,6,686126,2,1
37,1643717,793,969134,19,889694,4,1
53,415048,632,1905797,26,590348,5,0
32,960581,426,1486803,5,271223,17,0
42,1890696,300,138059,26,663759,8,1
42,1116838,467,1837430,8,322870,8,0
50,849438,318,882583,30,355050,12,0
58,1405663,631,492136,20,278676,8,1
58,233320,755,1732252,25,909121,19,0
28,527025,408,248303,39,475573,3,0
47,815115,567,561162,12,43162,18,1
47,1761863,744,523573,22,921253,19,1
54,564359,539,1363982,19,273497,19,0
41,1143793,600,379125,36,112313,15,1
50,1508507,402,957383,27,28477,6,1
53,1143187,549,959531,16,679930,16,0
48,606845,752,1180548,27,86373,8,1
53,1797690,819,1436205,1,928941,16,1
25,300734,452,1153298,24,693464,18,0
39,357702,473,1974507,5,718730,20,0
24,954122,642,231890,10,528839,16,1
55,1425811,730,997436,37,68359,11,1
37,1347087,623,1367621,5,448096,7,1
64,1183939,719,167473,10,143988,17,1
48,1522373,784,1590815,13,126150,17,1
50,1931897,711,320741,1,473919,12,1
49,806229,383,1490351,39,696805,13,0
26,929497,412,1621836,2,309780,10,0
55,298818,631,1948917,34,467143,7,0
61,1173950,677,908823,32,995698,14,1
57,352360,340,789574,23,816117,1,0
44,819369,404,375437,18,837566,17,0
49,761165,501,1866760,17,351060,4,0
51,573706,749,206877,23,107967,5,1
55,1132817,565,1583471,34,94455,20,1
53,1460533,509,1634738,0,783123,7,0
41,272715,417,1847001,35,461063,10,0
52,341398,676,922834,24,957497,17,0
43,1882955,839,1899087,33,175405,7,1
53,1767628,383,493066,24,239646,1,1
23,1381208,753,384923,15,189937,7,1
38,1065580,813,669696,33,472312,11,1
45,283186,686,1743470,28,836188,9,0
62,1935826,649,170062,18,385007,12,1
51,1399670,595,1110676,22,61192,3,1
23,794604,557,1417741,18,191758,4,1
60,1276956,380,1082499,24,835165,4,0
44,834486,567,1773736,15,235161,13,1
52,464500,718,1488846,8,812425,19,0
42,270326,534,1293048,0,685852,10,0
43,1078879,610,928878,18,676341,5,1
22,839282,656,1914445,32,286287,7,1
47,420971,512,284196,33,995107,16,0
62,1006481,348,257609,15,715637,1,0
22,1717509,426,725302,39,107044,12,1
46,1417060,522,333006,17,505173,2,1
37,1231519,578,323813,33,181062,7,1
60,989352,707,957651,24,652694,11,1
53,684410,804,759132,5,456104,13,1
29,1590281,593,1900924,20,69351,2,1
63,425314,576,323022,5,490588,7,0
59,1687292,737,839417,31,705359,15,1
49,1828094,406,541121,38,234085,11,1
62,1740448,719,1303296,30,758171,2,1
46,716998,728,1664099,9,498095,7,1
55,1147531,674,331075,29,70309,4,1
45,1768560,372,1191452,17,929950,11,0
44,665757,329,574624,23,686093,2,0
33,1623060,487,879365,8,119156,16,1
27,708062,663,1052403,30,338144,7,1
56,1832185,750,1406256,14,441848,13,1
40,332028,494,643792,3,21576,5,0
21,431447,455,673502,39,527608,17,0
28,1060563,471,1280796,8,666110,12,0
36,1689700,340,163936,8,627290,19,1
34,1195843,362,66279,25,184535,7,1
32,826045,322,1298313,3,26572,6,0
43,1681235,659,1202327,16,280092,8,1
35,501207,374,1465153,15,520114,13,0
48,1624945,417,1169962,14,640816,5,0
54,1627120,679,136124,34,694186,2,1
22,1591538,589,1466470,4,89051,9,1
52,466847,739,1962493,4,814299,11,0
43,920488,306,386199,19,191303,6,0
42,796387,495,141911,14,983766,7,1
45,619065,720,935050,17,746716,7,1
42,887220,492,1569065,1,781700,19,0
42,231585,447,772030,28,203305,6,0
62,1663807,501,1043978,12,306822,11,1
26,1195043,743,497244,3,893993,11,1
35,1816449,718,1319670,9,799395,7,1
63,489102,726,426036,30,457576,2,1
57,1536737,778,287723,7,573722,19,1
53,1635397,774,1431848,2,66617,4,1
28,1162854,425,1509900,8,937773,6,0
64,479922,694,888927,29,641857,17,0
64,900601,624,132806,10,731672,5,1
25,1290805,691,1978193,34,883784,7,1
59,1335228,739,781893,36,866164,9,1
24,1114699,503,1328673,12,510874,1,0
26,449474,785,1024334,35,369792,1,1
52,1952300,330,1042144,12,81494,19,0
50,1112935,687,247478,11,744265,6,1
55,460116,733,537436,36,601513,18,1
60,1071310,675,1793455,9,82867,10,1
36,1144994,643,1410369,8,168600,11,1
33,720985,742,1788460,6,779957,1,0
62,219975,374,539709,1,865404,1,0
50,357795,454,1787821,22,458818,13,0
39,1665071,729,487585,38,882693,5,1
37,1457949,662,1330780,39,615036,20,1
39,1129065,747,407546,38,254265,1,1
48,1224939,533,867108,20,519493,20,1
46,1445709,561,900525,22,164404,3,1
57,1074829,424,1539556,28,910913,18,0
46,1953089,544,231871,13,653817,9,1
43,1543862,841,391558,25,996433,14,1
29,1837188,784,548512,4,986710,17,1
32,1424613,421,1453815,30,484353,14,0
21,588076,424,817442,24,264395,4,0
21,860008,848,1695171,30,963221,5,1
54,890493,469,525278,19,885540,17,0
52,1168181,423,1980440,16,682387,2,0
45,820347,334,344067,1,97382,5,0
60,1212092,386,429593,24,479767,4,1
21,822605,500,544955,12,9583,4,1
36,925495,668,1334574,38,574675,6,1
59,1545766,376,1570180,27,285248,20,0
25,1688856,358,1932582,5,536512,13,0
42,301459,730,1535183,2,847056,5,0
49,961985,799,1096195,34,449274,7,1
23,400422,408,696045,17,890752,20,0
32,1350096,577,1676528,10,227444,1,1
46,785560,367,1952392,19,946803,14,0
36,947512,368,867459,4,340716,4,0
57,716123,464,740824,18,871901,17,0
42,1578369,788,1395205,21,864360,14,1
49,526818,604,1358014,18,466690,16,0
34,1236548,664,200528,15,266285,14,1
48,344832,678,518011,23,678710,16,0
25,352999,642,347698,3,468298,20,0
50,548619,653,1407642,14,857303,8,0
25,261367,715,1374129,24,136149,3,1
32,953315,408,774687,34,570303,19,0
36,605804,796,796760,13,988651,1,1
46,1108182,640,348783,18,976684,2,1
46,957038,682,1329758,37,171929,15,1
41,1484382,832,1555419,35,756556,10,1
59,1104586,599,1904700,6,190912,18,1
56,1956169,438,1187613,29,846334,14,0
53,1293314,658,1832776,18,5577,17,1
50,757685,798,1808136,24,806434,13,1
57,1592909,684,798423,15,50711,1,1
43,1587087,579,1287063,39,563739,5,1
30,1242377,782,68074,7,493027,13,1
25,402332,410,720909,17,704463,14,0
56,582729,438,1390683,27,421863,3,0
54,1360029,734,1583248,15,559119,15,1
51,1268392,808,1850298,18,249402,19,1
30,1159744,572,806967,16,755664,17,0
39,1123780,398,626553,12,882930,3,0
52,969299,403,66061,6,915381,16,0
21,1665291,513,1550018,26,244942,14,1
25,1206080,464,1258458,9,95119,12,1
24,571000,819,503222,33,853262,12,1
36,413567,583,687790,35,342776,11,0
44,1763509,816,1383520,24,823265,17,1
36,795923,463,1476912,5,767754,8,0
22,416184,363,552175,23,748224,17,0
48,498090,390,1355081,17,810830,20,0
52,517348,416,681516,22,585842,11,0
47,1431534,566,256548,5,50755,2,1
40,1189156,439,1561252,28,935210,10,0
44,1526283,545,500983,24,153412,10,1
32,292324,694,1913062,16,851426,11,0
55,423536,786,518535,23,588172,6,1
53,1520567,775,546005,10,870793,4,1
53,226155,816,750757,25,541770,12,1
63,541815,483,1111809,33,54225,11,1
57,1889755,319,816565,27,189921,13,0
32,660494,823,533236,2,599142,5,1
23,349381,828,1779004,10,565544,6,1
21,1380267,446,902159,37,240617,1,1
53,1724986,603,1975618,13,108721,6,1
60,643324,527,1431173,25,605398,18,0
30,234707,401,678423,20,113606,9,0
63,1137841,716,1517624,38,538938,15,1
64,1767053,515,420608,29,177190,8,1
49,1970440,706,267314,7,28930,19,1
33,1951550,698,587970,19,741067,16,1
32,946788,798,1584090,31,260102,6,1
51,553299,764,204455,21,362544,6,1
22,1407068,381,1418880,6,273945,3,0
55,1722688,664,798692,8,575648,10,1
43,370102,462,335810,0,874340,1,0
37,594274,347,1419537,28,147631,14,0
46,417285,810,1714062,7,294478,4,1
28,1586980,628,477858,3,236545,12,1
49,1408052,415,1664694,34,13288,6,1
46,958842,636,1594859,2,677758,11,0
30,1222788,446,584522,39,207302,12,1
46,1409504,622,631904,6,798623,10,1
54,1913136,742,321365,26,280195,18,1
61,1050610,312,1241058,0,61715,7,0
27,496141,793,1833991,26,10737,7,1
24,1143115,586,766773,15,589428,11,1
31,1892137,413,1099627,37,680611,4,0
49,1945171,779,1995537,6,182047,20,1
56,1497076,321,1699782,22,267291,1,0
45,1938993,648,128116,10,574796,13,1
41,1380887,619,434370,32,314368,18,1
56,445546,425,1327507,35,281787,9,0
30,1445309,576,1405477,36,301111,9,1
57,851233,503,569385,16,103535,9,1
29,1818136,493,1481728,34,827165,10,0
44,1241592,846,1622138,4,296952,2,1
55,346470,585,1831411,31,512438,6,0
55,844318,356,276572,2,722648,15,0
56,1567223,602,181379,34,583247,3,1
38,1255146,462,1679753,13,395065,11,0
59,530929,318,1036399,30,330322,6,0
52,1781974,669,276256,30,722496,3,1
44,1747691,563,872376,16,191812,11,1
43,279141,412,935987,23,112255,15,0
52,212115,787,612422,22,610610,13,1
57,1287638,626,470539,17,830997,20,1
32,1009343,841,1607997,13,937687,10,1
33,1876925,364,252834,14,508522,6,1
43,1543276,591,1579017,14,1132,15,1
45,590479,324,1326155,5,693619,18,0
55,1774833,848,600242,26,751972,18,1
61,1030185,300,760381,14,850100,7,0
50,597686,848,1450679,35,259427,15,1
37,1370439,440,801287,7,431779,18,0
40,996657,487,1833802,14,485443,18,0
45,1749652,427,1824363,2,633123,20,0
42,847296,500,1365712,12,142003,9,1
33,1749302,426,576249,33,782516,2,1
39,1225799,556,586785,23,597457,8,1
56,1927132,846,475767,39,260529,20,1
32,1878687,493,1879310,31,443855,2,1
61,1000101,403,849687,31,253608,11,0
39,1883541,834,185639,29,758673,7,1
32,1244257,564,1933855,12,714261,6,0
29,248320,683,810177,0,624705,10,0
27,1164918,559,1801939,33,525332,5,1
48,696758,713,1118965,14,177763,11,1
34,1395225,657,1274171,13,231807,1,1
51,1373930,374,1484522,28,24363,2,0
39,812297,654,373720,33,308838,1,1
36,648625,487,1094846,17,394798,19,0
25,228625,589,880351,6,997414,2,0
55,936400,344,787463,28,984348,20,0
32,1534809,382,53358,30,807733,4,1
45,1285063,422,400679,24,336473,12,1
41,1707630,657,551110,37,1620,20,1
56,1476647,827,1351133,13,324368,18,1
43,688011,365,257596,7,449871,1,0
36,1560858,674,1877352,26,95419,1,1
59,1422471,461,680270,1,692894,14,0
62,630424,679,278129,16,906482,4,1
59,516205,657,1890706,36,496712,5,0
34,1148163,487,378953,13,956894,11,0
51,1247328,621,667367,24,726989,13,1
25,301376,749,1154381,29,842288,16,0
55,1673682,773,212421,28,180324,13,1
43,1033487,312,1306425,19,317953,2,0
49,967629,483,911465,20,546547,16,0
63,1530228,410,288483,21,20655,6,1
31,1720708,807,1983247,34,950509,14,1
38,358056,589,442551,36,949133,1,0
32,834457,594,1142617,15,941114,17,0
29,760347,750,1916962,16,450400,11,1
30,662785,514,320146,15,21602,19,1
64,1876273,326,1430503,1,872377,3,0
37,1748229,530,157524,3,666470,11,1
58,1232766,620,268306,20,923577,5,1
27,729992,532,961289,38,887278,17,0
33,1178080,736,594026,33,342962,7,1
60,928744,832,1895711,29,927699,10,1
62,942488,702,163776,5,525825,11,1
29,835567,352,230494,16,410354,3,1
47,882568,612,242971,38,961832,20,1
22,842804,580,979896,24,780498,10,0
25,722828,330,1929732,4,701562,10,0
49,678366,636,1917307,4,171236,14,1
57,921384,482,327785,19,912977,12,0
58,1157386,322,1440254,15,89743,15,0
39,619139,843,318449,36,447875,10,1
28,719777,745,803622,39,86155,10,1
21,1624764,373,1379502,8,967196,19,0
42,432549,309,1438977,4,906630,1,0
37,1802029,783,286371,1,942349,10,1
27,1840067,755,652251,8,89846,2,1
45,684965,459,696275,35,758795,17,0
24,990546,313,1774502,21,292706,7,0
56,1182469,477,174591,21,814468,7,1
26,236321,711,642054,21,716112,20,0
51,535441,352,580799,33,860665,9,0
39,1493590,707,689104,28,607337,2,1
64,356498,321,550981,37,239647,14,0
59,1266348,329,823720,32,330825,17,0
47,990144,559,993681,17,289962,1,1
30,594583,504,316909,6,948048,9,0
46,438389,358,1250002,0,848964,20,0
39,839430,770,1384649,32,996140,19,1
59,1864600,765,1258468,0,319849,4,1
23,1300500,311,1210152,23,544392,8,0
33,1776590,589,1521315,3,386480,13,1
48,1599872,653,1693952,3,652192,4,1
40,1276299,374,1033667,17,856035,9,0
48,958470,740,1176101,26,626787,9,1
28,864468,540,63780,31,845457,18,1
61,408786,453,318733,32,751624,12,0
59,1808507,395,930096,27,818749,10,0
21,886684,593,1013443,35,424632,11,1
23,1463008,508,1543285,5,173084,7,1
33,1228400,642,154188,15,524156,9,1
48,1388575,387,667614,33,892017,6,0
45,1080112,689,877385,22,461261,19,1
53,558690,624,640073,23,676760,16,0
58,1139947,456,1642173,12,310414,15,0
26,279973,436,1677059,17,203141,7,0
64,834122,727,1124477,12,643703,16,1
52,1248173,751,1777512,36,443049,5,1
41,1702025,440,1523300,38,194716,16,0
36,487681,382,517927,16,604494,1,0
41,694509,476,1648328,14,331612,19,0
31,1880386,497,1376980,17,190545,5,1
57,1795476,720,699285,22,963313,7,1
56,425049,700,347584,29,431544,19,1
55,1517191,770,1455802,33,430000,5,1
39,366703,517,942015,3,23723,17,0
40,964357,474,630971,2,847078,8,0
38,947419,322,436350,6,721615,1,0
61,1279924,534,222502,17,524362,2,1
34,1444380,312,1606570,6,779533,15,0
35,335832,400,1779041,39,288642,20,0
51,1543499,835,1701348,5,720882,18,1
21,483780,822,824107,21,621169,11,1
23,1854753,751,904741,0,413757,10,1
36,1302127,730,882359,3,570217,4,1
43,604772,832,1305062,28,123199,5,1
31,1915499,592,1927954,20,231525,4,1
32,771107,400,962935,25,288172,13,0
30,1584490,801,499777,13,29545,13,1
52,1208559,603,191449,8,603857,18,1
36,620182,839,627880,11,31673,2,1
28,1461357,654,1236995,5,424190,16,1
58,1701681,602,345920,19,452115,1,1
32,882347,795,971287,23,416313,19,1
44,1222378,526,1678662,26,888943,9,0
48,913708,535,185370,37,355288,3,1
28,748884,754,906636,7,326968,7,1
48,1050538,312,922639,0,23525,10,0
56,1225014,509,1985364,23,582092,1,0
46,1187471,696,498377,6,146115,10,1
28,259182,399,897084,18,566134,9,0
48,549307,330,541830,21,77261,15,0
48,501454,827,966004,34,757600,15,1
57,1566808,628,293767,29,500827,3,1
61,1901667,465,1643786,28,967731,5,0
56,1388554,758,477244,21,184100,9,1
47,1023346,399,554677,10,954887,9,0
37,1096782,472,1512108,19,815915,7,0
29,1818243,461,913428,28,7265,12,1
53,1720404,562,1508760,33,809195,9,1
40,970188,573,866698,0,206724,6,0
33,458517,302,568895,30,15733,2,0
48,1155154,327,1325393,29,898628,9,0
49,1688673,625,467216,17,615326,17,1
33,1557133,448,981515,16,299564,1,1
55,337084,839,1101442,37,664607,19,1
26,905475,787,162669,13,941344,6,1
38,782004,737,842330,22,458365,5,1
25,1080179,364,330539,24,21058,2,1
45,948013,655,1792955,14,246301,9,1
22,891738,832,1070747,21,297073,14,1
30,1946588,551,316150,2,162434,4,1
50,1452078,534,739753,18,610777,4,1
25,344539,526,1895964,33,608952,15,0
53,624226,824,493258,34,702716,8,1
21,1770439,612,539415,0,77597,4,1
38,1370575,348,997135,20,792473,16,0
52,1363369,417,1456396,28,78209,4,1
31,1705949,353,696012,5,782397,16,0
41,1618897,343,1685765,36,979458,12,0
46,212289,352,943659,0,192941,16,0
45,900336,824,774857,0,676419,19,1
42,898956,401,538029,26,624152,8,0
47,1505944,697,1740056,20,962226,6,1
33,286365,437,222646,15,148620,10,0
53,954950,686,1392137,39,408294,5,1
54,375211,410,400164,25,398635,18,0
61,1428361,316,1444359,15,166562,10,0
55,1321164,481,1556798,27,207158,10,1
21,263646,835,1193457,0,639446,7,0
41,465798,840,292934,35,976264,18,1
